SECURITY,SHARES,FAIR VALUE ($),COST ($)
LIVZON PHARMACEUTICAL GROUP INC,4234,22461,20034
L'OCCITANE INTERNATIONAL SA,1883106,4015416,3823111
LOGO YAZILIM SANAYI VE TICARET AS,14834,223574,200724
LOJAS RENNER SA,1633760,12983992,8402103
LONKING HOLDINGS LTD,900389,146258,193957
LOPEZ HOLDINGS CORP,876892,148862,170494
LOTTE CHEMICAL CORP,1818,437012,386675
LS CORP,4263,240464,194464
LUKOIL PJSC,335,14983,15141
LUMENS CO LTD,23136,89848,92802
LUNDIN MINING CORP,1347536,5094149,4799120
LUNG YEN LIFE SERVICE CORP,373710,630103,1233576
LXB RETAIL PROPERTIES PLC,474632,421151,874362
LYCOS INTERNET LTD,107974,17977,51912
M DIAS BRANCO SA,30060,1122992,875449
MAG SILVER CORP,363823,5393356,2644796
MAGAZINE LUIZA SA,14169,265567,227146
MAGNITOGORSK IRON & STEEL WORKS OJSC,8841,54639,32747
MAHLE-METAL LEVE SA,12814,93240,77617
MALAYSIAN PACIFIC INDUSTRIES BHD,18745,35683,41221
MALEE GROUP PCL,15976,36575,19828
MANAPPURAM FINANCE LTD,62692,79852,55945
MANDARIN ORIENTAL INTERNATIONAL,2111552,2850595,2791115
MANNAI CORP,10292,236021,316193
MARFRIG GLOBAL FOODS SA,13661,21587,24214
MAROC TELECOM,58761,761542,772978
MASSMART HOLDING LTD,75785,666521,908951
MASTERLINK SECURITIES CORP,319662,82811,103209
MAZDA MOTOR CORP,168497,2778289,3379331
MCS  STEEL PCL,64354,26027,19863
MEDIA NUSANTARA CITRA TBK PT,5576643,807169,1086832
MEDIATEK INC,1114,8763,8889
MEDIKIT CO LTD,2160,92816,57619
MEDINET NASR FOR HOUSING & DEVELOPMENT SAE,333120,543199,560313
MEGACABLE HOLDINGS SAB DE CV,447475,1718398,1810585
MEGHMANI ORGANICS LTD,50316,30579,20645
MEGMILK SNOW BRAND CO LTD,48329,1490491,1326846
MELIA HOTELS INTERNATIONAL SA,88793,1103649,974592
MERAFE RESOURCES LTD,110584,7065,7133
MERCATOR LTD,62699,47467,42926
MERCURIES & ASSOCIATES HOLDING,119139,72278,74311
MERLIN PROPERTIES SOCIMI SA,137042,1590415,1432313
METALS X LTD,2942757,3350618,2582023
METALURGICA GERDAU SA,1560,1766,15002
MEXICHEM SAB DE CV,1459299,3359625,4752034
MFEC PCL,551128,83588,145760
MICROLIFE CORP,33870,84968,88657
MICRO-STAR INTERNATIONAL CO LTD,106127,255866,130683
MILLENNIUM & COPTHORNE HOTELS,41516,235112,329102
MINMETALS LAND LTD,115899,14493,14610
MIRAE ASSET LIFE INSURANCE CO,9586,36755,38850
MITRA ADIPERKASA TBK PT,4514262,1565436,1574689
MITSUBISHI ESTATE CO LTD,307567,5819189,6455538
MITSUBISHI MATERIAL CORP,79346,223995,223400
MITSUI FUDOSAN CO LTD,323600,6970371,8525789
MIX TELEMATICS LTD,1226,6117,6131
MK ELECTRON CO LTD,4893,43534,48328
MK REAL ESTATE DEVELOPMENT PCL,2018169,248369,358074
MKH BHD,35507,24165,25278
MMC NORILSK NICKEL PJSC,157386,2363942,2153509
MMI HOLDINGS LTD,86177,132128,230184
MOBASE CO LTD,43422,327908,405766
MODERN INTERNASIONAL TBK PT,17114048,203845,950259
MODERNLAND REALTY TBK PT,823898,23850,37274
MONEYSUPERMARKETCOM GROUP PLC,120347,454571,599739
MOORIM PAPER CO LTD,58868,146247,203056
MOTOR OIL HELLAS CORINTH REFINERIES SA,23684,266155,254380
MOUNTAIN PROVINCE DIAMOND INC,305084,1481183,1002458
MRV ENGENHARIA E PARTICIPACOES SA,82306,312548,248616
MULTIPOLAR TECHNOLOGY TBK PT,214569,16984,24408
MURRAY & ROBERTS HOLDINGS LTD,46323,40203,45582
MUTHOOT FINANCE LTD,8094,45413,33511
NAKANO REFRIGERATORS CO LTD,41941,1165757,1159072
NAMUGA CO LTD,623,38064,29543
NAMYANG DAIRY PRODUCTS CO LTD,41,25663,25184
NANTEX INDUSTRY CO LTD,170114,126257,128586
NATIONAL CENTRAL COOLING CO PJSC,59357,24402,24986
NATIONAL LEASING,22555,112178,108856
NATURA COSMETICOS SA,464063,4473017,3916438
NAVER CORP,1199,908736,737799
NEMAK SAB DE CV,923983,1043039,1172241
NEMASKA LITHIUM INC,467934,381608,388910
NEOWIZ HOLDINGS CORP,6546,90706,99156
NEPES CORP,7414,50200,52751
NESTLE MALAYSIA BHD,1560,30330,29681
NESTLE SA,55872,4452458,3017711
NETEASE INC,3305,700518,469780
MELIA HOTELS INTERNATIONAL SA,88793,1103649,974592
MERAFE RESOURCES LTD,110584,7065,7133
MERCATOR LTD,62699,47467,42926
MERCURIES & ASSOCIATES HOLDING,119139,72278,74311
MERLIN PROPERTIES SOCIMI SA,137042,1590415,1432313
METALS X LTD,2942757,3350618,2582023
METALURGICA GERDAU SA,1560,1766,15002
MEXICHEM SAB DE CV,1459299,3359625,4752034
MFEC PCL,551128,83588,145760
MICROLIFE CORP,33870,84968,88657
MICRO-STAR INTERNATIONAL CO LTD,106127,255866,130683
MILLENNIUM & COPTHORNE HOTELS,41516,235112,329102
MINMETALS LAND LTD,115899,14493,14610
MIRAE ASSET LIFE INSURANCE CO,9586,36755,38850
MITRA ADIPERKASA TBK PT,4514262,1565436,1574689
MITSUBISHI ESTATE CO LTD,307567,5819189,6455538
MITSUBISHI MATERIAL CORP,79346,223995,223400
MITSUI FUDOSAN CO LTD,323600,6970371,8525789
MIX TELEMATICS LTD,1226,6117,6131
MK ELECTRON CO LTD,4893,43534,48328
MK REAL ESTATE DEVELOPMENT PCL,2018169,248369,358074
MKH BHD,35507,24165,25278
MMC NORILSK NICKEL PJSC,157386,2363942,2153509
MMI HOLDINGS LTD,86177,132128,230184
MOBASE CO LTD,43422,327908,405766
MODERN INTERNASIONAL TBK PT,17114048,203845,950259
MODERNLAND REALTY TBK PT,823898,23850,37274
MONEYSUPERMARKETCOM GROUP PLC,120347,454571,599739
MOORIM PAPER CO LTD,58868,146247,203056
MOTOR OIL HELLAS CORINTH REFINERIES SA,23684,266155,254380
MOUNTAIN PROVINCE DIAMOND INC,305084,1481183,1002458
MRV ENGENHARIA E PARTICIPACOES SA,82306,312548,248616
MULTIPOLAR TECHNOLOGY TBK PT,214569,16984,24408
MURRAY & ROBERTS HOLDINGS LTD,46323,40203,45582
MUTHOOT FINANCE LTD,8094,45413,33511
NAKANO REFRIGERATORS CO LTD,41941,1165757,1159072
NAMUGA CO LTD,623,38064,29543
NAMYANG DAIRY PRODUCTS CO LTD,41,25663,25184
NANTEX INDUSTRY CO LTD,170114,126257,128586
NATIONAL CENTRAL COOLING CO PJSC,59357,24402,24986
NATIONAL LEASING,22555,112178,108856
NATURA COSMETICOS SA,464063,4473017,3916438
NAVER CORP,1199,908736,737799
NEMAK SAB DE CV,923983,1043039,1172241
NEMASKA LITHIUM INC,467934,381608,388910
NEOWIZ HOLDINGS CORP,6546,90706,99156
NEPES CORP,7414,50200,52751
NESTLE MALAYSIA BHD,1560,30330,29681
NESTLE SA,55872,4452458,3017711
NETEASE INC,3305,700518,469780
NEVSUN RESOURCES LTD,729129,2295113,2563585
NEW ORIENTAL EDUCATION AND TECHNOLOGY,8354,329799,232947
NEW WORLD DEVELOPMENT CO LTD,2238148,2807513,2616107
NEWCREST MINING LTD,445595,7431135,6877550
NEXEN TIRE CORP,14581,182429,186546
NEXGEN ENERGY LTD,2182542,3859225,1199903
NEXT CO LTD,5271,36285,35161
NICE INFORMATION & TELECOMMUNICATIONS,2038,67917,63599
NIEN HSING TEXTILE CO LTD,26532,20193,23455
NIHON M&A CENTER INC,16757,921806,935846
NIIT TECHNOLOGIES LTD,55023,328640,442980
NILKAMAL LTD,48235,897027,638423
NINTENDO CO LTD,6492,1423071,1410314
NIPPON TELEGRAPH & TELEPHONE CORP,185381,8147536,7610590
NISHOKU TECHNOLOGY INC,20887,48908,47138
NITTO DENKO CORP,75351,5146013,4988739
NITTO KOHKI CO LTD,1661,36269,37612
NMC HEALTH PLC,59891,1062851,844256
NOBLE CORP PLC,61543,354489,509990
NORTHERN STAR RESOURCES LTD,266164,810143,410070
NTPM HOLDINGS BHD,7208080,1528529,1566040
NTT DATA CORP,67805,3533299,3351123
NTT URBAN DEVELOPMENT CORP,6088,55852,51022
NUVOTON TECHNOLOGY CORP,47419,58282,42616
NVC LIGHTING HOLDINGS LTD,70765,8758,8531
NYRSTAR NV,65203,469924,467720
OKINAWA CELLULAR TELEPHONE CO,1661,50114,32840
OLDTOWN BHD,44483,21279,20406
ONMOBILE GLOBAL LTD,330009,542294,443578
OOREDOO QSC,12150,342674,282213
OPTIMAL RESOURCES INC,20841,2,0
OPTO DEVICE TECHNOLOGY CO LTD,3664,28459,33056
OPTO TECH CORP,64354,27785,25822
ORASCOM TELECOM MEDIA AND TECHNOLOGY HOLDING SAE,4657,299,1664
ORBIS SA,671,12621,10452
ORGANIZACION CULTIBA SAB DE CV,1187604,1384685,1933908
ORGANIZACION SORIANA SAB DE CV ,622707,1579810,1415657
ORIENTAL WEAVERS,28414,22239,23141
ORION CORP,1592,1061003,1310491
OROCOBRE LTD,203095,586122,299838
OSISKO GOLD ROYALTIES LTD,113743,1284766,1393946
OSRAM LICHT AG,33360,1744042,1730933
OSSTEM IMPLANT CO LTD,30455,1554137,1903940
OSWAL GREENTECH LTD,32202,14017,26329
OURO FINO SAUDE ANIMAL PARTICIPACOES SA,84019,974174,837695
OVERSEAS CHINESE TOWN ASIA HOLDINGS LTD,94837,35457,54473
OZ MINERALS LTD,614299,2950113,1749005
OZAK GAYRIMENKUL YATIRIM ORTAKLIGI AS,34231,27994,22574
PADAENG INDUSTRY PCL,431791,165903,228052
PADINI HOLDINGS BHD,654468,456699,305339
PAINTED PONY PETROLEUM LTD,342838,2184465,2989949
NEW ORIENTAL EDUCATION AND TECHNOLOGY,8354,329799,232947
NEW WORLD DEVELOPMENT CO LTD,2238148,2807513,2616107
NEWCREST MINING LTD,445595,7431135,6877550
NEXEN TIRE CORP,14581,182429,186546
NEXGEN ENERGY LTD,2182542,3859225,1199903
NEXT CO LTD,5271,36285,35161
NICE INFORMATION & TELECOMMUNICATIONS,2038,67917,63599
NIEN HSING TEXTILE CO LTD,26532,20193,23455
NIHON M&A CENTER INC,16757,921806,935846
NIIT TECHNOLOGIES LTD,55023,328640,442980
NILKAMAL LTD,48235,897027,638423
NINTENDO CO LTD,6492,1423071,1410314
NIPPON TELEGRAPH & TELEPHONE CORP,185381,8147536,7610590
NISHOKU TECHNOLOGY INC,20887,48908,47138
NITTO DENKO CORP,75351,5146013,4988739
NITTO KOHKI CO LTD,1661,36269,37612
NMC HEALTH PLC,59891,1062851,844256
NOBLE CORP PLC,61543,354489,509990
NORTHERN STAR RESOURCES LTD,266164,810143,410070
NTPM HOLDINGS BHD,7208080,1528529,1566040
NTT DATA CORP,67805,3533299,3351123
NTT URBAN DEVELOPMENT CORP,6088,55852,51022
NUVOTON TECHNOLOGY CORP,47419,58282,42616
NVC LIGHTING HOLDINGS LTD,70765,8758,8531
NYRSTAR NV,65203,469924,467720
OKINAWA CELLULAR TELEPHONE CO,1661,50114,32840
OLDTOWN BHD,44483,21279,20406
ONMOBILE GLOBAL LTD,330009,542294,443578
OOREDOO QSC,12150,342674,282213
OPTIMAL RESOURCES INC,20841,2,0
OPTO DEVICE TECHNOLOGY CO LTD,3664,28459,33056
OPTO TECH CORP,64354,27785,25822
ORASCOM TELECOM MEDIA AND TECHNOLOGY HOLDING SAE,4657,299,1664
ORBIS SA,671,12621,10452
ORGANIZACION CULTIBA SAB DE CV,1187604,1384685,1933908
ORGANIZACION SORIANA SAB DE CV ,622707,1579810,1415657
ORIENTAL WEAVERS,28414,22239,23141
ORION CORP,1592,1061003,1310491
OROCOBRE LTD,203095,586122,299838
OSISKO GOLD ROYALTIES LTD,113743,1284766,1393946
OSRAM LICHT AG,33360,1744042,1730933
OSSTEM IMPLANT CO LTD,30455,1554137,1903940
OSWAL GREENTECH LTD,32202,14017,26329
OURO FINO SAUDE ANIMAL PARTICIPACOES SA,84019,974174,837695
OVERSEAS CHINESE TOWN ASIA HOLDINGS LTD,94837,35457,54473
OZ MINERALS LTD,614299,2950113,1749005
OZAK GAYRIMENKUL YATIRIM ORTAKLIGI AS,34231,27994,22574
PADAENG INDUSTRY PCL,431791,165903,228052
PADINI HOLDINGS BHD,654468,456699,305339
PAINTED PONY PETROLEUM LTD,342838,2184465,2989949
PALLISER OIL & GAS CORP,136744,521,87537
PAN ASIA ENVIRONMENTAL PROTECTION GROUP LTD,134353,29445,26372
PAN JIT INTERNATIONAL INC,64354,34073,34059
PANASONIC CORP,1011021,10370698,9617599
PANASONIC MANUFACTURING MALAYSIA BHD,3443,32181,33309
PARAMOUNT CORP BHD,45725,16461,23078
PARANAPANEMA SA,47531,26604,62040
PARK 24 CO,73890,2160958,1813819
PARTRON CO LTD,5573,52985,52766
PAXTON CORP,2178,5692,7199
PEAK SPORT PRODUCTS CO LTD,1937388,601941,543399
PEPSI-COLA PRODUCTS PHILIPPINES,91939,6117,7536
PEREGRINE HOLDINGS LTD,27875,52116,64022
PETRA DIAMONDS LTD,1331171,1978798,2233794
PETROLEO BRASILEIRO SA,339288,3101089,2732050
PHILIP MORRIS CR AS,53,27880,26991
PHILIPPINE SEVEN CORP,647300,1944888,758814
PHILLIPS CARBON BLACK LTD,11984,44396,37873
PHILWEB CORP,5719172,736453,1905305
PHOENIX NEW MEDIA LTD,5080,18085,18884
PHOENIX SEMICONDUCTOR PHILIPPINES CORP,281125,9774,17134
PICK N PAY STORES LTD,38323,191928,215458
PING AN INSURANCE GROUP CO OF CHINA LTD,208346,1078427,1076625
PINNACLE HOLDINGS LTD,77649,85490,74023
PLATINUM GROUP PCL,95119,18686,12872
POLETOWIN PITCREW HOLDINGS INC,209716,1449671,1872467
POLSKI KONCERN NAFTOWY ORLEN SA,32599,541747,511345
POLSKIE GORNICTWO NAFTOWE I GAZOWNICTWO SA,76977,104896,131844
POLYCHEM INDONESIA TBK PT,119410,1674,8701
POONGSAN CORP,8446,237461,226391
PORIENT FUELS CORP,20841,2,0
POSCO,34274,7100731,8935892
POSCO CHEMTECH CO LTD,187275,1830764,2163530
POSCO COATED & COLOR STEEL CO LTD,1089,23488,20083
POSCO M-TECH CO LTD,16039,37761,41580
POTASH CORP OF SASKATCHEWAN INC,111789,2023376,1926287
POU SHENG INTERNATIONAL HOLDINGS LTD,2411194,826864,577265
POWER LOGICS CO LTD,6510,26010,25782
POWER ROOT BHD,8750,4337,4532
POWERLONG REAL ESTATE HOLDINGS,1289543,369071,286714
POWERTECH TECHNOLOGY INC,85805,223906,155661
PRAIRIESKY ROYALTY LTD,2990,58238,58627
PRAKASH INDUSTRIES LTD,41772,32372,32163
PRECISION DRILLING CORP,152366,627749,831037
PRESIDENT CHAIN STORE CORP,268710,2138297,1784647
PRETIUM RESOURCES INC,278832,2688331,1275090
PROLOGIS PROPERTY MEXICO SA DE CV,134675,225545,206424
PROMOTORA AMBIENTAL SAB DE CV ,413147,492656,550772
PROMOTORA Y OPERADORA DE INFRAESTRUCTURA SAB DE CV,553264,5918203,6756848
PROSEGUR CIA DE SEGURIDAD SA,265514,1777257,1462997
PROSIEBENSAT1 MEDIA SE,25402,1090924,1312038
PAN ASIA ENVIRONMENTAL PROTECTION GROUP LTD,134353,29445,26372
PAN JIT INTERNATIONAL INC,64354,34073,34059
PANASONIC CORP,1011021,10370698,9617599
PANASONIC MANUFACTURING MALAYSIA BHD,3443,32181,33309
PARAMOUNT CORP BHD,45725,16461,23078
PARANAPANEMA SA,47531,26604,62040
PARK 24 CO,73890,2160958,1813819
PARTRON CO LTD,5573,52985,52766
PAXTON CORP,2178,5692,7199
PEAK SPORT PRODUCTS CO LTD,1937388,601941,543399
PEPSI-COLA PRODUCTS PHILIPPINES,91939,6117,7536
PEREGRINE HOLDINGS LTD,27875,52116,64022
PETRA DIAMONDS LTD,1331171,1978798,2233794
PETROLEO BRASILEIRO SA,339288,3101089,2732050
PHILIP MORRIS CR AS,53,27880,26991
PHILIPPINE SEVEN CORP,647300,1944888,758814
PHILLIPS CARBON BLACK LTD,11984,44396,37873
PHILWEB CORP,5719172,736453,1905305
PHOENIX NEW MEDIA LTD,5080,18085,18884
PHOENIX SEMICONDUCTOR PHILIPPINES CORP,281125,9774,17134
PICK N PAY STORES LTD,38323,191928,215458
PING AN INSURANCE GROUP CO OF CHINA LTD,208346,1078427,1076625
PINNACLE HOLDINGS LTD,77649,85490,74023
PLATINUM GROUP PCL,95119,18686,12872
POLETOWIN PITCREW HOLDINGS INC,209716,1449671,1872467
POLSKI KONCERN NAFTOWY ORLEN SA,32599,541747,511345
POLSKIE GORNICTWO NAFTOWE I GAZOWNICTWO SA,76977,104896,131844
POLYCHEM INDONESIA TBK PT,119410,1674,8701
POONGSAN CORP,8446,237461,226391
PORIENT FUELS CORP,20841,2,0
POSCO,34274,7100731,8935892
POSCO CHEMTECH CO LTD,187275,1830764,2163530
POSCO COATED & COLOR STEEL CO LTD,1089,23488,20083
POSCO M-TECH CO LTD,16039,37761,41580
POTASH CORP OF SASKATCHEWAN INC,111789,2023376,1926287
POU SHENG INTERNATIONAL HOLDINGS LTD,2411194,826864,577265
POWER LOGICS CO LTD,6510,26010,25782
POWER ROOT BHD,8750,4337,4532
POWERLONG REAL ESTATE HOLDINGS,1289543,369071,286714
POWERTECH TECHNOLOGY INC,85805,223906,155661
PRAIRIESKY ROYALTY LTD,2990,58238,58627
PRAKASH INDUSTRIES LTD,41772,32372,32163
PRECISION DRILLING CORP,152366,627749,831037
PRESIDENT CHAIN STORE CORP,268710,2138297,1784647
PRETIUM RESOURCES INC,278832,2688331,1275090
PROLOGIS PROPERTY MEXICO SA DE CV,134675,225545,206424
PROMOTORA AMBIENTAL SAB DE CV ,413147,492656,550772
PROMOTORA Y OPERADORA DE INFRAESTRUCTURA SAB DE CV,553264,5918203,6756848
PROSEGUR CIA DE SEGURIDAD SA,265514,1777257,1462997
PROSIEBENSAT1 MEDIA SE,25402,1090924,1312038
PSK INC,2731,33550,36079
PSP SWISS PROPERTY AG,3571,342353,319878
PTG ENERGY PCL,1634135,1428048,520830
PTT EXPLORATION AND PRODUCTION PCL,27025,63432,52705
PTT PCL,1783,17977,15955
PUBLIC BANK BHD,8581,41895,39564
PUBLIC POWER CORP SA,14095,41601,37673
PUNJAB & SIND BANK,50171,39406,38272
PURA VIDA ENERGY NL,356546,10183,258407
PYEONG HWA AUTOMATIC,1891,19923,25188
QATAR FUEL QSC,2059,86617,91997
QATAR GAS TRANSPORT CO LTD,22824,156697,143723
QATAR NATIONAL BANK SAQ,34240,1532686,1238391
QATAR NAVIGATION QSC,8778,218155,242352
QUADRISE CANADA CORP,1895,0,0
QUADRISE CANADA FUEL SYSTEMS INC,18946,1,0
QUALICORP SA,27774,193587,187452
QUANTA STORAGE INC,30483,29589,19863
RADICO KHAITAN LTD,66839,104345,111501
RAIA DROGASIL SA,47588,874854,436335
RAIMON LAND PCL,1454083,63430,68069
RAJESH EXPORTS LTD,26892,176462,266444
RAMAYANA LESTARI SENTOSA TBK PT,4339731,405673,298860
RASSINI SAB DE CV,21061,84422,81436
RATCHTHANI LEASING PCL,400631,60183,56440
RAYDIUM SEMICONDUCTOR CORP,23042,43338,43514
RAYMOND CORP,6486,40029,44435
REAL NUTRICEUTICAL GROUP LTD,2099961,173265,513022
RECKITT BENCKISER GROUP PLC,50730,4886067,2924883
REDCAPTOUR CO LTD,2241,34873,63444
REFRESCO GROUP NV,68010,1106659,1195865
REGIONAL CONTAINER LINES PCL,921219,149032,270029
RELIANCE INFRASTRUCTURE LTD,30394,270783,187823
RENESOLA LTD,149475,173391,234078
REUNERT LTD,29747,122997,139733
RIO TINTO PLC,414872,12502661,14555094
RIVERBANK POWER CORP,162249,266896,368513
ROAD KING INFRASTRUCTURE,35564,30535,31144
ROBERTET SA,881,322854,121848
ROBINSONS RETAIL HOLDINGS INC,189180,341048,283227
ROHTO PHARMACEUTICAL CO LTD,4652,72903,74593
ROWAN COS PLC,38598,480932,502581
RSWM LTD,38803,267340,207943
RUCHI SOYA INDUSTRIES LTD,55565,16843,39805
RUKUN RAHARJA TBK PT,674925,10125,22336
RUMO LOGISTICA OPERADORA MULTIMODAL SA,2700837,5938201,1914405
RYOHIN KEIKAKU CO LTD,25413,4584558,4844093
S&T HOLDINGS CO LTD,1482,20740,36573
S&T MOTIV CO LTD,2971,138824,153533
SAERON AUTOMOTIVE CORP,1011,7281,8938
SAF GAYRIMENKUL YATIRIM ORTAKLIGI AS,190292,53375,48098
PSP SWISS PROPERTY AG,3571,342353,319878
PTG ENERGY PCL,1634135,1428048,520830
PTT EXPLORATION AND PRODUCTION PCL,27025,63432,52705
PTT PCL,1783,17977,15955
PUBLIC BANK BHD,8581,41895,39564
PUBLIC POWER CORP SA,14095,41601,37673
PUNJAB & SIND BANK,50171,39406,38272
PURA VIDA ENERGY NL,356546,10183,258407
PYEONG HWA AUTOMATIC,1891,19923,25188
QATAR FUEL QSC,2059,86617,91997
QATAR GAS TRANSPORT CO LTD,22824,156697,143723
QATAR NATIONAL BANK SAQ,34240,1532686,1238391
QATAR NAVIGATION QSC,8778,218155,242352
QUADRISE CANADA CORP,1895,0,0
QUADRISE CANADA FUEL SYSTEMS INC,18946,1,0
QUALICORP SA,27774,193587,187452
QUANTA STORAGE INC,30483,29589,19863
RADICO KHAITAN LTD,66839,104345,111501
RAIA DROGASIL SA,47588,874854,436335
RAIMON LAND PCL,1454083,63430,68069
RAJESH EXPORTS LTD,26892,176462,266444
RAMAYANA LESTARI SENTOSA TBK PT,4339731,405673,298860
RASSINI SAB DE CV,21061,84422,81436
RATCHTHANI LEASING PCL,400631,60183,56440
RAYDIUM SEMICONDUCTOR CORP,23042,43338,43514
RAYMOND CORP,6486,40029,44435
REAL NUTRICEUTICAL GROUP LTD,2099961,173265,513022
RECKITT BENCKISER GROUP PLC,50730,4886067,2924883
REDCAPTOUR CO LTD,2241,34873,63444
REFRESCO GROUP NV,68010,1106659,1195865
REGIONAL CONTAINER LINES PCL,921219,149032,270029
RELIANCE INFRASTRUCTURE LTD,30394,270783,187823
RENESOLA LTD,149475,173391,234078
REUNERT LTD,29747,122997,139733
RIO TINTO PLC,414872,12502661,14555094
RIVERBANK POWER CORP,162249,266896,368513
ROAD KING INFRASTRUCTURE,35564,30535,31144
ROBERTET SA,881,322854,121848
ROBINSONS RETAIL HOLDINGS INC,189180,341048,283227
ROHTO PHARMACEUTICAL CO LTD,4652,72903,74593
ROWAN COS PLC,38598,480932,502581
RSWM LTD,38803,267340,207943
RUCHI SOYA INDUSTRIES LTD,55565,16843,39805
RUKUN RAHARJA TBK PT,674925,10125,22336
RUMO LOGISTICA OPERADORA MULTIMODAL SA,2700837,5938201,1914405
RYOHIN KEIKAKU CO LTD,25413,4584558,4844093
S&T HOLDINGS CO LTD,1482,20740,36573
S&T MOTIV CO LTD,2971,138824,153533
SAERON AUTOMOTIVE CORP,1011,7281,8938
SAF GAYRIMENKUL YATIRIM ORTAKLIGI AS,190292,53375,48098
SAFRAN SA,32802,2289868,2340800
SAJOHAEPYO CORP,3687,44473,60522
SAM YOUNG ELECTRONICS CO LTD,1362,14654,16601
SAM-A PHARMACEUTICALS CO LTD,1400,34968,22782
SAMCHULLY CO LTD,1076,97945,101294
SAMJIN PHARMACEUTICAL CO LTD,1751,50491,49632
SAMMOK S-FORM CO LTD,13502,180436,314606
SAMPO CORP,287334,160282,122344
SAMSUNG ELECTRONICS CO LTD,14142,20547171,16368577
SAN MIGUEL PURE FOODS CO INC,469,2232,2168
SANGAM INDIA LTD,19784,79468,76689
SANGHVI MOVERS LTD,5268,18867,25690
SANSIRI PCL,7389058,394903,374389
SANTOS BRASIL PARTICIPACOES SA,2579095,2376678,1863395
SAO MARTINHO SA,59838,923353,721587
SAPPI LTD,164497,809508,705169
SARKUYSAN ELEKTROLITIK BAKIR SANAYI VE TICARET,29074,29279,30553
SASA POLYESTER SANAYI AS,21511,18755,15413
SASKEN COMMUNICATION TECHNOLOGIES LTD,8421,45577,49503
SASOL LTD,19405,488174,1053468
SATO HOLDINGS CORP,62432,1314602,1260331
SATS LTD,1593528,5507222,4073754
SBERBANK OF RUSSIA PJSC,210062,1906315,2195413
SC ASSET CORP PCL,713798,70523,67234
SCENTRE GROUP,868798,3245139,2547119
SCHLUMBERGER LTD,45201,3570877,3974854
SCIENTEX BHD,25967,40019,25926
SCUD GROUP LTD,214756,277,31642
SDI CORP,89757,119230,128137
SEAH STEEL CORP,892,52715,54205
SEBANG CO LTD,271702,3777021,4914381
SEBANG GLOBAL BATTERY CO LTD,752,25491,28353
SECHE ENVIRONNEMENT SA,281,10208,16724
SEIBU HOLDINGS INC,127397,2092597,2109837
SEIKO  HOLDINGS CORP,326261,1009364,1217105
SEJONG INDUSTRIAL CO LTD,8861,94168,65004
SEKISUI CHEMICAL CO LTD,388018,5424406,4902694
SELCUK ECZA DEPOSU TICARET VE SANAYI AS,251351,226793,271819
SENA DEVELOPMENT PCL,191568,21583,21615
SENAO INTERNATIONAL CO LTD,59273,97697,88396
SENSATA TECHNOLOGIES HOLDING,57051,2172513,2785828
SEOHEE CONSTRUCTION CO LTD,341772,475110,342013
SEOYON CO LTD,17845,208861,222232
SEOYON E-HWA CO LTD,13226,192761,161076
SEOYON ELECTRONICS CO LTD,8006,23048,36700
SER EDUCACIONAL SA,8016,39760,24954
SEVEN & I HOLDINGS CO LTD,73285,3089841,2822406
SEWON PRECISION INDUSTRY CO LTD,1275,21549,18709
SHANDONG LUOXIN PHARMACEUTICAL CO LTD,36128,54402,62326
SHANGHAI PRIME MACHINERY CO LTD,135482,22532,23767
SHANGRI-LA ASIA LTD,921290,997691,1613267
SAJOHAEPYO CORP,3687,44473,60522
SAM YOUNG ELECTRONICS CO LTD,1362,14654,16601
SAM-A PHARMACEUTICALS CO LTD,1400,34968,22782
SAMCHULLY CO LTD,1076,97945,101294
SAMJIN PHARMACEUTICAL CO LTD,1751,50491,49632
SAMMOK S-FORM CO LTD,13502,180436,314606
SAMPO CORP,287334,160282,122344
SAMSUNG ELECTRONICS CO LTD,14142,20547171,16368577
SAN MIGUEL PURE FOODS CO INC,469,2232,2168
SANGAM INDIA LTD,19784,79468,76689
SANGHVI MOVERS LTD,5268,18867,25690
SANSIRI PCL,7389058,394903,374389
SANTOS BRASIL PARTICIPACOES SA,2579095,2376678,1863395
SAO MARTINHO SA,59838,923353,721587
SAPPI LTD,164497,809508,705169
SARKUYSAN ELEKTROLITIK BAKIR SANAYI VE TICARET,29074,29279,30553
SASA POLYESTER SANAYI AS,21511,18755,15413
SASKEN COMMUNICATION TECHNOLOGIES LTD,8421,45577,49503
SASOL LTD,19405,488174,1053468
SATO HOLDINGS CORP,62432,1314602,1260331
SATS LTD,1593528,5507222,4073754
SBERBANK OF RUSSIA PJSC,210062,1906315,2195413
SC ASSET CORP PCL,713798,70523,67234
SCENTRE GROUP,868798,3245139,2547119
SCHLUMBERGER LTD,45201,3570877,3974854
SCIENTEX BHD,25967,40019,25926
SCUD GROUP LTD,214756,277,31642
SDI CORP,89757,119230,128137
SEAH STEEL CORP,892,52715,54205
SEBANG CO LTD,271702,3777021,4914381
SEBANG GLOBAL BATTERY CO LTD,752,25491,28353
SECHE ENVIRONNEMENT SA,281,10208,16724
SEIBU HOLDINGS INC,127397,2092597,2109837
SEIKO  HOLDINGS CORP,326261,1009364,1217105
SEJONG INDUSTRIAL CO LTD,8861,94168,65004
SEKISUI CHEMICAL CO LTD,388018,5424406,4902694
SELCUK ECZA DEPOSU TICARET VE SANAYI AS,251351,226793,271819
