SECURITY,SHARES,FAIR VALUE ($),COST ($)
ARIZONA MINING INC,1361352,2001340,1347512
ARRIS INTERNATIONAL PLC,270195,7584377,7531757
ASCENDIS HEALTH LTD,40537,68737,64922
ASIA AVIATION PCL,1113095,241170,172104
ASIA CEMENT CO LTD,856,58486,86564
ASIA HOLDINGS CO LTD,759,67755,107118
ASICS CORP,20974,425217,446476
ASSECO POLAND SA,10227,149066,164894
ASTELLAS PHARMA INC,126488,1932750,1208923
ASTRAL FOODS LTD,22237,197070,326587
AU OPTRONICS CORP,440464,173518,135548
AUTO TRADER GROUP PLC,582702,2847367,2217200
AVANTI FEEDS LTD,4067,33351,33172
AVATEC CO LTD,13265,88753,143483
AVIANCA HOLDINGS SA,13379,92452,104742
AYGAZ AS,6425,24124,21083
AZBIL CORP,7864,230365,173957
BABCOCK INTERNATIONAL GROUP PLC,43600,597291,489309
BACANORA MINERALS LTD,298240,347638,344202
BAIDU INC,66008,11292039,10589944
BAJAJ CORP LTD,9185,54861,65380
BALMER LAWRIE & CO LTD,2752,28563,27647
BANCO DO BRASIL SA,73225,525788,985058
BANCO PRODUCTS INDIA LTD,12585,40617,41102
BANCO SANTANDER BRASIL SA,21982,153873,119387
BANGCHAK PETROLEUM PCL,199651,194659,174067
BANGKOK LAND PCL,2347164,123408,95261
BANK BUKOPIN TBK PT,1663272,89652,88797
BANK NEGARA INDONESIA PERSERO TBK PT,744652,329801,261028
BANK OF CHINA LTD,1784735,803007,791994
BANK OF CHONGQING CO LTD,187416,146420,169032
BANK OF INDIA,12543,41889,43655
BANK PEMBANGUNAN DAERAH JAWA BARAT & BANTEN TBK PT,4633587,562385,329757
BANK PEMBANGUNAN DAERAH JAWA TIMUR TBK PT,3226101,145922,139069
BANK RAKYAT INDONESIA PERSERO TBK PT ,3031432,2662346,1731049
BANK TABUNGAN NEGARA PERSERO TBK PT,10205102,1546337,866340
BAOYE GROUP CO LTD,352344,242111,284611
BARLOWORLD LTD,489030,2765179,3474018
BARRICK GOLD CORP,380472,6463715,4355205
